KATA 1;;;;
array;i;i < 25;i++;
[ ];1;true;2;
[1];2;true;3;
[1,2];3;true;4;
[1,2,3];4;true;5;
[1,2,3,4];5;true;6;
[1,2,3,4,5];6;true;7;
;;;;
KATA 2;;;;
array;i;i > 1;i --;
[ ];25;true;24;
[25];24;true;23;
[25,24];23;true;22;
[25,24,23];22;true;21;
[25,24,23,22];21;true;20;
[25,24,23,22,21];20;true;19;
;;;;
KATA 3;;;;
array;i;i >= -25;i--;
[ ];-1;true;-2;
[-1];-2;true;-3;
[-1,-2];-3;true;-4;
[-1,-2,-3];-4;true;-5;
[-1,-2,-3,-4];-5;true;-6;
[-1,-2,-3,-4,-5];-6;true;-7;
;;;;
KATA 4;;;;
array;i;i <= -1;i++;
[ ];-25;true;-24;
[-25];-24;true;-23;
[-,25,-24];-23;true;-22;
[-,25,-24, -23];-22;true;-21;
[-,25,-24,-23, -22];-21;true;-20;
[-,25,-24,-23,-22,-21];-20;true;-19;
;;;;
KATA 5;;;;
array;i;i >= -25;i % 2 !== 0;i--
[ ];25;true;true;24
[25];24;true;false;23
[25];23;true;true;22
[25,23];22;true;false;21
[25,23];21;true;true;20
[25,23,21];20;true;false;19
